"","stats","pollutant","mod","data","odds.mean","odds.ll","odds.ul","odds.prob"
"50","Bayesian","NO2","fml102","data_1yr",-0.06640703251457,-0.22166650489527,0.106698568501692,0.2075
"51","Bayesian","NO2","fml103","data_1yr",0.0255568582700747,-0.0365660486153421,0.0875641529486073,0.78975
"52","Bayesian","NO2","fml106","data_1yr",-0.0354555834166418,-0.109295452541513,0.0584302108792787,0.19775
"53","Bayesian","NO2","fml107","data_1yr",-0.0287227910826804,-0.116841254713117,0.0582570979760706,0.267
"54","Bayesian","NO2","fml108","data_1yr",-0.0321500452537559,-0.116864547640383,0.0652493192447592,0.24
"55","Bayesian","NO2","fml109","data_1yr",-0.0305696688245846,-0.11181083187749,0.0611129077272676,0.24225
"56","Bayesian","NO2","fml110","data_1yr",-0.0262564511140702,-0.105775846867702,0.0596637266755031,0.272
"57","Bayesian","NO2","fml111","data_1yr",-0.0384706361358021,-0.10939084655329,0.0545110435114475,0.206
"58","Bayesian","NO2","fml112","data_1yr",-0.0304142529605671,-0.113505149327435,0.0552559035747779,0.24625
"59","Bayesian","NO2","fml113","data_1yr",-0.0262169311092173,-0.117038041856456,0.0627860615711577,0.27375
"60","Bayesian","NO2","fml114","data_1yr",-0.0299079922569691,-0.113550646582215,0.0590474353131012,0.237025
"61","Bayesian","NO2","fml115","data_1yr",-0.0314324996644527,-0.113656566236132,0.0591875720583346,0.231675
"62","Bayesian","NO2","fml116","data_1yr",-0.0949362495929769,-0.258291623971893,0.0979314027212295,NA
"63","Bayesian","NO2","fml101","data_5yrs",-0.023072057921861,-0.110966317520494,0.0722055600890088,0.30525
"64","Bayesian","NO2","fml102","data_5yrs",-0.0380586865521388,-0.216875368157747,0.16949920843374,0.3365
"65","Bayesian","NO2","fml103","data_5yrs",0.0230367771510374,-0.0368558425328817,0.0868111340747699,0.76225
"66","Bayesian","NO2","fml106","data_5yrs",-0.0201816909501693,-0.106048893382205,0.0704823275784381,0.32625
"67","Bayesian","NO2","fml107","data_5yrs",-0.0272295471162034,-0.108599771425533,0.067938615723919,0.277
"68","Bayesian","NO2","fml108","data_5yrs",-0.0246635939823046,-0.110324430213833,0.0694340372071092,0.30075
"69","Bayesian","NO2","fml109","data_5yrs",-0.0211460517824218,-0.11332033138467,0.0738751907318984,0.3135
"70","Bayesian","NO2","fml110","data_5yrs",-0.0244879130441542,-0.109278635061923,0.0695579695598212,0.27425
"71","Bayesian","NO2","fml111","data_5yrs",-0.0239784690223268,-0.113232511854149,0.0729985955269765,0.3015
"72","Bayesian","NO2","fml112","data_5yrs",-0.024788622718836,-0.117346240275265,0.0668308252439302,0.303
"73","Bayesian","NO2","fml113","data_5yrs",-0.0209930885177037,-0.114516176450989,0.0740293983231117,0.333
"74","Bayesian","NO2","fml114","data_5yrs",-0.0328261126525086,-0.111017894267912,0.0676344913902607,0.249225
"75","Bayesian","NO2","fml115","data_5yrs",-0.024785178436175,-0.109990766949337,0.0696126976047355,0.2798
"76","Bayesian","NO2","fml116","data_5yrs",-0.0734505060168289,-0.243005662643367,0.140528706214468,NA
"77","Bayesian","NO2","fml101","data_10yrs",-0.0274718737246581,-0.118393302084063,0.0748659944845385,0.26
"78","Bayesian","NO2","fml102","data_10yrs",-0.0942072761717708,-0.239933436321903,0.123563083320875,0.2135
"79","Bayesian","NO2","fml103","data_10yrs",0.0146271798937554,-0.044067003659039,0.0761403965670067,0.67475
"80","Bayesian","NO2","fml106","data_10yrs",-0.0279699230789264,-0.121217652712447,0.0774289888807338,0.2765
"81","Bayesian","NO2","fml107","data_10yrs",-0.0281984261796719,-0.118088362350417,0.0751440028445551,0.25425
"82","Bayesian","NO2","fml108","data_10yrs",-0.0250856074181965,-0.118750863343142,0.0699074389883976,0.306
"83","Bayesian","NO2","fml109","data_10yrs",-0.0274243111495921,-0.121641026215609,0.0752256484342477,0.2785
"84","Bayesian","NO2","fml110","data_10yrs",-0.0255226921803122,-0.114351262571753,0.0704098582967363,0.2865
"85","Bayesian","NO2","fml111","data_10yrs",-0.027524856200019,-0.122122856074144,0.070382047814679,0.27025
"86","Bayesian","NO2","fml112","data_10yrs",-0.0294178870100349,-0.119787492226203,0.0695318005775236,0.2575
"87","Bayesian","NO2","fml113","data_10yrs",-0.0289093926449405,-0.131642826908466,0.0762900463729599,0.2835
"88","Bayesian","NO2","fml114","data_10yrs",-0.0289055350106565,-0.118621339170864,0.0717402712045971,0.26455
"89","Bayesian","NO2","fml115","data_10yrs",-0.0285795800446109,-0.119510559797244,0.0729256531345537,0.26885
"90","Bayesian","NO2","fml116","data_10yrs",-0.107403404713316,-0.286975225935848,0.120504607559153,NA
"91","Bayesian","CO","fml101","data_1yr",-0.0635340505421238,-0.151332389565473,0.0329178651011017,0.08625
"92","Bayesian","CO","fml102","data_1yr",-0.0606558217062921,-0.159564221241335,0.0436197513173766,0.1205
"93","Bayesian","CO","fml104","data_1yr",0.0244066696999647,-0.0313280445646266,0.0815699778743244,0.80425
"94","Bayesian","CO","fml106","data_1yr",-0.04754267369486,-0.153638841591758,0.0318878728515442,0.28475
"95","Bayesian","CO","fml107","data_1yr",-0.0647753751282606,-0.157689617596191,0.0505175270915228,0.1045
"96","Bayesian","CO","fml108","data_1yr",-0.0635982561162957,-0.161208378883553,0.0357191823117695,0.124
"97","Bayesian","CO","fml109","data_1yr",-0.0601826250345325,-0.154946941411958,0.0703121842410004,0.11725
"98","Bayesian","CO","fml110","data_1yr",-0.0636488813382006,-0.154260620429573,0.0387888779161805,0.10575
"99","Bayesian","CO","fml111","data_1yr",-0.0590011361481286,-0.149841847153582,0.0387208136125665,0.10325
"100","Bayesian","CO","fml112","data_1yr",-0.0634479695404463,-0.158260409670385,0.0431252580354873,0.1075
"101","Bayesian","CO","fml113","data_1yr",-0.0600058364795381,-0.159916696209728,0.0374621614626767,0.119
"102","Bayesian","CO","fml114","data_1yr",-0.0591043573260402,-0.156110923400819,0.0358128365369335,0.126375
"103","Bayesian","CO","fml115","data_1yr",-0.0628289496528007,-0.158475733264517,0.0363699816973793,0.1068
"104","Bayesian","CO","fml116","data_1yr",-0.0618685428385657,-0.163043806217964,0.0487430610171022,NA
"105","Bayesian","CO","fml101","data_5yrs",-0.0589479112783775,-0.154155633682116,0.0432287948368362,0.1245
"106","Bayesian","CO","fml102","data_5yrs",-0.0554507895886991,-0.156955675806505,0.0538242027703479,0.1325
"107","Bayesian","CO","fml104","data_5yrs",0.0173214098955103,-0.0379328188312551,0.0755054746349186,0.72275
"108","Bayesian","CO","fml106","data_5yrs",-0.05787946962458,-0.146903298277432,0.0450239630586591,0.13475
"109","Bayesian","CO","fml107","data_5yrs",-0.0542910011378571,-0.15836888662916,0.0475504595350229,0.15
"110","Bayesian","CO","fml108","data_5yrs",-0.0587600755499661,-0.154868140838548,0.0459774897485823,0.133
"111","Bayesian","CO","fml109","data_5yrs",-0.0588245658326604,-0.157502228024448,0.0463157234851896,0.1175
"112","Bayesian","CO","fml110","data_5yrs",-0.0518361480618682,-0.148090998626463,0.0426746236821258,0.11825
"113","Bayesian","CO","fml111","data_5yrs",-0.0578190205166618,-0.150511608527361,0.0464872352363381,0.15125
"114","Bayesian","CO","fml112","data_5yrs",-0.0616783114537743,-0.158048394005193,0.0444714006913569,0.12075
"115","Bayesian","CO","fml113","data_5yrs",-0.0597688708478796,-0.155397858796489,0.0417744311541275,0.11625
"116","Bayesian","CO","fml114","data_5yrs",-0.068224344419401,-0.153753591426292,0.041138720553072,0.106325
"117","Bayesian","CO","fml115","data_5yrs",-0.0576235000534264,-0.160886532444369,0.0421860588813079,0.114575
